
8.13773 9.70548 42 24 24 24 18 0.08 0.125 0.216506 0.295
8.19541 10.0332 42 24 24 31.5 18 0.105 0.125 0.216506 0.295
8.24348 10.3608 42 24 24 39 18 0.13 0.125 0.216506 0.295
8.28243 10.6885 42 24 24 46.5 18 0.155 0.125 0.216506 0.295
8.31394 11.0162 42 24 24 54 18 0.18 0.125 0.216506 0.295
8.33975 11.3438 42 24 24 61.5 18 0.205 0.125 0.216506 0.295
8.36114 11.6715 42 24 24 69 18 0.23 0.125 0.216506 0.295
8.37914 11.9992 42 24 24 76.5 18 0.255 0.125 0.216506 0.295
8.39446 12.3268 42 24 24 84 18 0.28 0.125 0.216506 0.295
8.40764 12.6545 42 24 24 91.5 18 0.305 0.125 0.216506 0.295
8.4191 12.9822 42 24 24 99 18 0.33 0.125 0.216506 0.295
8.40019 13.3099 42 24 24 106.5 18 0.355 0.125 0.221506 0.295
8.40518 13.6375 42 24 24 114 18 0.38 0.125 0.221506 0.295
8.40945 13.9652 42 24 24 121.5 18 0.405 0.125 0.221506 0.295
8.41331 14.2929 42 24 24 129 18 0.43 0.125 0.221506 0.295
8.41684 14.6205 42 24 24 136.5 18 0.455 0.125 0.221506 0.295
8.42008 14.9482 42 24 24 144 18 0.48 0.125 0.221506 0.295
8.42306 15.2759 42 24 24 151.5 18 0.505 0.125 0.221506 0.295
8.42581 15.6035 42 24 24 159 18 0.53 0.125 0.221506 0.295
8.42836 15.9312 42 24 24 166.5 18 0.555 0.125 0.221506 0.295
8.43074 16.2589 42 24 24 174 18 0.58 0.125 0.221506 0.295
8.43295 16.5865 42 24 24 181.5 18 0.605 0.125 0.221506 0.295
8.43502 16.9142 42 24 24 189 18 0.63 0.125 0.221506 0.295
8.43695 17.2419 42 24 24 196.5 18 0.655 0.125 0.221506 0.295
8.43878 17.5696 42 24 24 204 18 0.68 0.125 0.221506 0.295
8.44049 17.8972 42 24 24 211.5 18 0.705 0.125 0.221506 0.295
8.44211 18.2249 42 24 24 219 18 0.73 0.125 0.221506 0.295
8.44363 18.5526 42 24 24 226.5 18 0.755 0.125 0.221506 0.295
8.44508 18.8802 42 24 24 234 18 0.78 0.125 0.221506 0.295
8.44645 19.2079 42 24 24 241.5 18 0.805 0.125 0.221506 0.295
8.44775 19.5356 42 24 24 249 18 0.83 0.125 0.221506 0.295
8.44898 19.8632 42 24 24 256.5 18 0.855 0.125 0.221506 0.295
8.45016 20.1909 42 24 24 264 18 0.88 0.125 0.221506 0.295
8.45128 20.5186 42 24 24 271.5 18 0.905 0.125 0.221506 0.295
8.45235 20.8463 42 24 24 279 18 0.93 0.125 0.221506 0.295
8.45338 21.1739 42 24 24 286.5 18 0.955 0.125 0.221506 0.295
8.45435 21.5016 42 24 24 294 18 0.98 0.125 0.221506 0.295
